Title: The Next Generation Atlas of Quasar Spectral Energy Distributions from
       Radio to X-rays
Authors: Shang Z., Brotherton M.S., Wills B.J., Wills D., Cales S.L.,
         Dale D.A., Green R.F., Runnoe J.C., Nemmen R.S., Gallagher S.C.,
         Ganguly R., Hines D.C., Kelly .J., Kriss G.A., Li J., Tang B., Xie Y.
Table: Median SEDs for radio-loud and radio-quiet samples
================================================================================
Byte-by-byte Description of file: datafile6.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  5 A5     ---   Type   Quasar type
   7- 13 F7.4   [Hz]  lognu  Log frequency
  15- 22 F8.5   [-]   logF   Log {nu}F_{nu}_
  24- 25 I2     ---   Num    Number of objects used in sample
  27- 31 F5.3   ---   sigma  Standard deviation
--------------------------------------------------------------------------------
Loud   8.0867 -2.60028 57 0.601
Loud   8.4600 -2.47227 51 0.570
Loud   8.8333 -2.26884 54 0.496
Loud   9.3650 -2.18200 58 0.529
Loud   9.9125 -1.88982 58 0.562
Loud  10.3175 -1.50400 27 0.623
Loud  12.4700 -1.28856 20 0.851
Loud  12.7500 -0.51636 19 0.313
Loud  13.0740 -0.07776 12 0.264
Loud  13.1020 -0.03473 12 0.257
Loud  13.1300 -0.00683 15 0.243
Loud  13.1580  0.01104 17 0.239
Loud  13.1860  0.02216 17 0.237
Loud  13.2140  0.04051 20 0.257
Loud  13.2420  0.04054 18 0.250
Loud  13.2700  0.03508 18 0.255
Loud  13.2980  0.00089 18 0.250
Loud  13.3260 -0.03370 18 0.252
Loud  13.3540 -0.05202 18 0.254
Loud  13.3820 -0.02378 20 0.233
Loud  13.4100 -0.02013 19 0.234
Loud  13.4380 -0.00768 19 0.234
Loud  13.4660 -0.02345 19 0.239
Loud  13.4940 -0.05879 19 0.243
Loud  13.5220 -0.12751 19 0.247
Loud  13.5500 -0.16979 19 0.244
Loud  13.5780 -0.16054 19 0.240
Loud  13.6060 -0.13991 19 0.231
Loud  13.6340 -0.13035 19 0.235
Loud  13.6620 -0.08016 19 0.225
Loud  13.6900 -0.08374 19 0.219
Loud  13.7180 -0.08580 19 0.210
Loud  13.7460 -0.06906 19 0.211
Loud  13.7740 -0.05473 19 0.203
Loud  13.8020 -0.02763 19 0.198
Loud  13.8300  0.00632 18 0.204
Loud  13.8580  0.06335 12 0.218
Loud  13.8860  0.07181 11 0.217
Loud  14.2425 -0.18348 16 0.157
Loud  14.3275 -0.25047 20 0.160
Loud  14.4125 -0.24780 32 0.148
Loud  14.4975 -0.23840 43 0.253
Loud  14.6124 -0.09827 10 0.170
Loud  14.6171 -0.10066 11 0.159
Loud  14.6218 -0.07737 12 0.147
Loud  14.6265 -0.05311 16 0.153
Loud  14.6312 -0.09128 16 0.132
Loud  14.6359 -0.03948 22 0.161
Loud  14.6406 -0.05505 26 0.120
Loud  14.6453 -0.00647 27 0.117
Loud  14.6500  0.10512 27 0.132
Loud  14.6547  0.27224 28 0.146
Loud  14.6594  0.55478 28 0.203
Loud  14.6641  0.31175 29 0.145
Loud  14.6688  0.08928 27 0.108
Loud  14.6735  0.00221 27 0.102
Loud  14.6782 -0.03291 28 0.098
Loud  14.6829 -0.03928 28 0.086
Loud  14.6876 -0.04822 28 0.083
Loud  14.6923 -0.04997 28 0.088
Loud  14.6970 -0.04628 27 0.077
Loud  14.7017 -0.03821 27 0.078
Loud  14.7064 -0.02533 27 0.076
Loud  14.7111 -0.03598 28 0.071
Loud  14.7158 -0.04257 30 0.073
Loud  14.7205 -0.05040 31 0.073
Loud  14.7252 -0.04885 33 0.076
Loud  14.7299 -0.05353 32 0.073
Loud  14.7346 -0.05230 33 0.066
Loud  14.7393 -0.05150 37 0.089
Loud  14.7440 -0.05997 36 0.079
Loud  14.7487 -0.03872 40 0.069
Loud  14.7534 -0.01771 39 0.074
Loud  14.7581 -0.01730 41 0.057
Loud  14.7628 -0.00320 45 0.068
Loud  14.7675 -0.02099 45 0.079
Loud  14.7722 -0.00541 45 0.049
Loud  14.7769  0.17278 46 0.098
Loud  14.7816  0.11579 46 0.073
Loud  14.7863  0.12481 46 0.050
Loud  14.7910  0.18739 46 0.065
Loud  14.7957  0.06305 46 0.046
Loud  14.8004  0.01285 48 0.036
Loud  14.8051  0.01884 48 0.037
Loud  14.8098  0.01178 48 0.029
Loud  14.8145  0.01405 48 0.031
Loud  14.8192  0.01512 48 0.029
Loud  14.8239  0.01566 49 0.027
Loud  14.8286  0.00883 50 0.035
Loud  14.8333  0.02999 50 0.032
Loud  14.8380  0.09971 51 0.049
Loud  14.8427  0.03985 51 0.021
Loud  14.8474  0.01098 51 0.013
Loud  14.8521  0.00199 51 0.004
Loud  14.8568  0.00756 52 0.014
Loud  14.8615  0.03020 52 0.031
Loud  14.8662  0.04421 53 0.034
Loud  14.8709  0.02366 54 0.046
Loud  14.8756  0.04206 54 0.043
Loud  14.8803  0.06076 55 0.048
Loud  14.8850  0.07186 55 0.053
Loud  14.8897  0.10736 55 0.059
Loud  14.8944  0.08130 55 0.058
Loud  14.8991  0.08853 55 0.060
Loud  14.9038  0.12601 55 0.069
Loud  14.9085  0.11474 55 0.066
Loud  14.9132  0.11477 55 0.068
Loud  14.9179  0.12134 55 0.071
Loud  14.9226  0.12393 55 0.076
Loud  14.9273  0.12781 56 0.076
Loud  14.9320  0.14200 56 0.078
Loud  14.9367  0.14808 56 0.080
Loud  14.9414  0.17433 56 0.083
Loud  14.9461  0.15415 56 0.081
Loud  14.9508  0.15977 56 0.080
Loud  14.9555  0.16578 56 0.081
Loud  14.9602  0.16314 56 0.086
Loud  14.9649  0.16757 56 0.087
Loud  14.9696  0.18502 56 0.089
Loud  14.9743  0.18620 56 0.092
Loud  14.9790  0.18638 56 0.090
Loud  14.9837  0.17643 56 0.091
Loud  14.9884  0.16130 56 0.088
Loud  14.9931  0.16162 57 0.088
Loud  14.9978  0.16836 58 0.090
Loud  15.0025  0.18522 58 0.089
Loud  15.0072  0.19509 58 0.090
Loud  15.0119  0.19158 58 0.089
Loud  15.0166  0.20622 58 0.087
Loud  15.0213  0.25232 58 0.093
Loud  15.0260  0.32265 58 0.106
Loud  15.0307  0.39721 58 0.119
Loud  15.0354  0.28379 58 0.103
Loud  15.0401  0.23786 58 0.094
Loud  15.0448  0.20721 58 0.091
Loud  15.0495  0.19733 58 0.090
Loud  15.0542  0.19216 58 0.087
Loud  15.0589  0.21482 58 0.088
Loud  15.0636  0.21036 58 0.090
Loud  15.0683  0.21852 58 0.087
Loud  15.0730  0.22935 58 0.088
Loud  15.0777  0.22904 58 0.086
Loud  15.0824  0.23742 58 0.089
Loud  15.0871  0.23064 58 0.088
Loud  15.0918  0.22938 58 0.089
Loud  15.0965  0.21842 58 0.086
Loud  15.1012  0.21772 58 0.087
Loud  15.1059  0.22342 58 0.090
Loud  15.1106  0.23028 58 0.087
Loud  15.1153  0.20768 58 0.091
Loud  15.1200  0.19455 58 0.093
Loud  15.1247  0.18620 58 0.093
Loud  15.1294  0.17765 58 0.091
Loud  15.1341  0.17300 58 0.095
Loud  15.1388  0.17923 58 0.095
Loud  15.1435  0.18106 58 0.095
Loud  15.1482  0.18324 58 0.095
Loud  15.1529  0.18500 58 0.102
Loud  15.1576  0.20148 58 0.106
Loud  15.1623  0.19695 58 0.105
Loud  15.1670  0.19151 58 0.104
Loud  15.1717  0.19669 58 0.104
Loud  15.1764  0.19989 58 0.106
Loud  15.1811  0.20125 58 0.108
Loud  15.1858  0.21006 58 0.105
Loud  15.1905  0.26706 58 0.101
Loud  15.1952  0.36084 58 0.112
Loud  15.1999  0.34097 58 0.111
Loud  15.2046  0.27969 58 0.110
Loud  15.2093  0.25693 58 0.113
Loud  15.2140  0.24453 58 0.112
Loud  15.2187  0.24728 58 0.111
Loud  15.2234  0.25137 58 0.115
Loud  15.2281  0.24300 58 0.114
Loud  15.2328  0.25677 58 0.116
